dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
0,1092,2495,10,3,0,0,0,3,0.01849256879003971,0.03,0,0.0
1,1092,2473,31,4,0,22,1,4,0.01818435931020572,0.029193517527792128,0,0.0
2,1092,2462,39,6,1,11,3,7,0.01792238125234682,0.028530948943364262,0,0.0
3,1092,2450,48,9,1,12,3,10,0.017699699903166756,0.027985584003439538,0,0.0
4,1092,2433,57,17,1,17,8,18,0.017510420756363707,0.027535887782812657,0,0.0
5,1092,2360,121,24,3,73,9,27,0.10281966610319992,0.18780064118697354,0,0.0
6,1092,2247,225,31,5,113,9,36,0.17533252464801075,0.32851089698206914,609,1.6120140152331943
7,1092,2101,353,43,11,146,18,54,0.23696845441109993,0.4476884614245418,1575,1.7053005108494976
8,1092,1945,470,76,17,156,39,93,0.2893589947097257,0.5486399474320889,2015,1.763545945681347
9,1092,1795,578,113,22,150,42,135,0.3338909539635576,0.6341613923705129,2400,1.8238120236223472
10,1092,1600,718,158,32,195,55,190,0.3717431193293147,0.7068908830764121,2699,1.8639269678695634
11,1092,1410,850,206,42,190,58,248,0.40391745989020833,0.7686857591715933,2905,1.8874364648435675
12,1092,1251,919,288,50,159,90,338,0.43126564936696793,0.8210637887723364,3043,1.9015992040996843
13,1092,1112,966,357,73,139,92,430,0.4545116104222134,0.8654624842585101,3125,1.9111264212462495
14,1092,987,1006,427,88,125,85,515,0.4742706773191722,0.9030994002857693,3193,1.9181766919995609
15,1092,873,1024,490,121,114,96,611,0.4910658841815872,0.935005903523304,3234,1.921396543035948
16,1092,789,1007,559,153,84,101,712,0.41987167739302106,0.795070885842418,2997,1.8957721489360373
17,1092,736,953,626,193,53,107,819,0.35935660162273986,0.6765230355566275,2631,1.8523418289204054
18,1092,685,906,682,235,51,98,917,0.3079187872180008,0.5760838396683834,2159,1.7869308166927416
19,1092,649,874,700,285,36,68,985,0.26419664497397266,0.4909796353189082,1766,1.7331465836089837
20,1092,614,835,716,343,35,74,1059,0.2270328240665487,0.41893541624318903,1488,1.6995008172681385
21,1092,586,771,756,395,28,92,1151,0.19544357629523837,0.35813634275843964,1084,1.7947632000331386
22,1092,567,710,775,456,19,80,1231,0.16859271568962453,0.30662682110191514,424,1.4990535344835345
23,1092,549,657,793,509,18,71,1302,0.14576948417485283,0.26298391330429416,21,0.6172261821611282
24,1092,532,604,820,552,17,70,1372,0.12636973738729687,0.22600348517164062,0,0.0
25,1092,518,567,808,615,14,51,1423,0.1098799526178743,0.19466634950326467,0,0.0
26,1092,506,520,809,673,12,59,1482,0.09586363556386511,0.16810970301837452,0,0.0
27,1092,499,479,798,732,7,48,1530,0.08394976606795729,0.14560301498966083,0,0.0
28,1092,486,442,783,797,13,50,1580,0.07382297699643567,0.1265276631507663,0,0.0
29,1092,480,403,769,856,6,45,1625,0.06521520628564229,0.11063291221097592,0,0.0
30,1092,476,368,747,917,4,39,1664,0.057898601181467904,0.09734434738340395,0,0.0
31,1092,474,322,740,972,2,48,1712,0.05167948684291967,0.08608089471993127,0,0.0
32,1092,467,291,719,1031,7,38,1750,0.04639323965515369,0.0765335538127471,0,0.0
33,1092,461,266,684,1097,6,31,1781,0.04189992954555259,0.06844053497091117,0,0.0
34,1092,460,247,659,1142,1,20,1801,0.03808061595239166,0.06158003568020283,0,0.0
35,1092,458,223,656,1171,2,26,1827,0.034834199398204875,0.05576412424433493,0,0.0
36,1092,454,207,627,1220,4,20,1847,0.032074745327146104,0.05083356047928493,0,0.0
37,1092,452,191,594,1271,2,18,1865,0.02972920936674615,0.04682470922495183,0,0.0
38,1092,449,174,561,1324,3,20,1885,0.02773550380040619,0.04347595485373848,0,0.0
39,1092,445,163,534,1366,4,15,1900,0.026040854069017218,0.040635684285677626,0,0.0
40,1092,441,156,508,1403,4,11,1911,0.0246004017973366,0.03822659479653122,0,0.0
41,1092,437,144,485,1442,4,16,1927,0.023376017366408073,0.03618315057982131,0,0.0
42,1092,434,132,462,1480,3,15,1942,0.022335290600118823,0.034449789349648915,0,0.0
43,1092,430,120,447,1511,4,16,1958,0.021450672848772955,0.032979402581341355,0,0.0
44,1092,428,112,422,1546,2,10,1968,0.020698747760128977,0.0317320476061788,0,0.0
45,1092,425,100,410,1573,3,15,1983,0.020059611434781594,0.030673856157060295,0,0.0
46,1092,422,94,395,1597,3,9,1992,0.019516345558236312,0.02977610936941002,0,0.0
47,1092,421,88,375,1624,1,7,1999,0.019054569563172828,0.029014453823825545,0,0.0
48,1092,418,80,362,1648,3,11,2010,0.018662059967368867,0.02836823709952728,0,0.0
49,1092,413,77,352,1666,5,8,2018,0.018328426810935498,0.027819944597176224,0,0.0
50,1092,411,71,342,1684,2,8,2026,0.018044838627967134,0.027354722176519464,0,0.0
51,1092,410,68,330,1700,1,4,2030,0.017803788672444025,0.02695997151530203,0,0.0
52,1092,408,64,308,1728,2,6,2036,0.017598896210249383,0.02662500709598655,0,0.0
53,1092,407,63,289,1749,1,2,2038,0.017424737617383935,0.026340765421183285,0,0.0
54,1092,405,57,281,1765,2,8,2046,0.017276702813448307,0.026099558494041754,0,0.0
55,1092,401,58,261,1788,4,3,2049,0.01715087323010302,0.025894864815790675,0,0.0
56,1092,398,56,253,1801,3,5,2054,0.01704391808425953,0.025786273891838515,0,0.0
57,1092,398,50,237,1823,0,6,2060,0.01695300621029256,0.025718074380792776,0,0.0
58,1092,396,48,231,1833,2,4,2064,0.016875731117420637,0.02565992816633675,0,0.0
59,1092,392,45,226,1845,4,7,2071,0.016810047288479506,0.025610355297840053,0,0.0
60,1092,391,41,222,1854,1,5,2076,0.01675421603387954,0.02556809330003181,0,0.0
61,1092,387,41,203,1877,4,4,2080,0.01670675946746957,0.025532065294524883,0,0.0
