dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
0,1092,2495,10,3,0,0,0,3,0.01849256879003971,0.03,0,0.0
1,1092,2473,31,4,0,22,1,4,0.019108987749707703,0.03069351752779213,0,0.0
2,1092,2460,41,6,1,13,3,7,0.019663764813408896,0.03132530069614348,0,0.0
3,1092,2448,50,9,1,12,3,10,0.020163064170739965,0.03189997094288401,0,0.0
4,1092,2430,59,18,1,18,9,19,0.02061243359233793,0.03242200057002996,0,0.0
5,1092,2329,150,26,3,101,10,29,0.14922206500420435,0.27551044111257167,66,0.9249878482277673
6,1092,2162,307,34,5,167,10,39,0.26497073327488413,0.4997549066060195,1819,1.737433286483271
7,1092,1954,490,52,12,208,25,64,0.3691445347184959,0.7008960905351654,2690,1.8634078480535874
8,1092,1731,661,97,19,223,52,116,0.4629009560177465,0.8813327766586857,3164,1.9152564837926491
9,1092,1519,810,153,26,212,63,179,0.5471721872159591,1.0,3334,1.930304868389165
10,1092,1273,971,227,37,246,85,264,0.6187949675911474,1.0,3409,1.9372124846547545
11,1092,1050,1113,291,54,223,81,345,0.6729654255963252,1.0,3459,1.9409610213860535
12,1092,871,1189,382,66,179,103,448,0.7124099009435974,1.0,3496,1.9438553204826943
13,1092,728,1215,472,93,143,117,565,0.7423151311816327,1.0,3513,1.9454133741822632
14,1092,617,1210,566,115,111,116,681,0.7662876032146145,1.0,3526,1.9468689738051892
15,1092,510,1201,641,156,107,116,797,0.7856177407369015,1.0,3540,1.9481004052069042
16,1092,423,1168,723,194,87,120,917,0.8017843645945678,1.0,3549,1.9487616574651294
17,1092,344,1124,792,248,79,123,1040,0.8155459482429492,1.0,3557,1.9492257146081164
18,1092,287,1063,860,298,57,118,1158,0.8273682446845159,1.0,3566,1.9497465329742802
19,1092,240,1016,898,354,47,94,1252,0.8375475616526139,1.0,3569,1.9500576293053025
20,1092,202,959,928,419,38,95,1347,0.8462724670735692,1.0,3574,1.950346162589941
21,1092,171,895,960,482,31,95,1442,0.764110896204884,0.9038535881434812,3564,1.9496309092452695
22,1092,150,821,968,569,21,95,1537,0.6901654824230677,0.8172942880090475,3548,1.9484275508336344
23,1092,133,761,974,640,17,77,1614,0.623614610019433,0.7393673218888547,3525,1.9468105142128085
24,1092,119,704,991,694,14,71,1685,0.5637188248561618,0.6692128608858476,3500,1.9442308045636163
25,1092,107,650,984,767,12,66,1751,0.5098126182092174,0.606056587486404,3467,1.9414371389331833
26,1092,95,600,982,831,12,62,1813,0.4612970322269678,0.5492012006858165,3417,1.9368024952649978
27,1092,83,553,969,903,12,59,1872,0.4176330048429429,0.49801876710707194,3347,1.930345171542463
28,1092,78,503,952,975,5,55,1927,0.37833538019732055,0.4519438324442969,3262,1.9229863336166442
29,1092,76,453,937,1042,2,52,1979,0.3429675180162605,0.41046721681954607,3103,1.9069826148680846
30,1092,71,409,915,1113,5,49,2028,0.31113644205330643,0.37313042567083493,2875,1.8813507752148582
31,1092,68,355,905,1180,3,57,2085,0.28248847368664776,0.3395206148441115,2606,1.8491482077590884
32,1092,64,316,876,1252,4,43,2128,0.25670530215665494,0.3092660548109881,2284,1.8037872351778594
33,1092,60,285,839,1324,4,35,2163,0.23350044777966142,0.28203204449780717,1910,1.7486219203129347
34,1092,58,262,809,1379,2,25,2188,0.21261607884036723,0.25751723018147393,348,1.3301199905728294
35,1092,56,235,801,1416,2,29,2217,0.19382014679500245,0.2354502893567593,0,0.0
36,1092,53,219,762,1474,3,19,2236,0.17690380795417418,0.21558694346943,0,0.0
37,1092,51,202,720,1535,2,19,2255,0.16167910299742874,0.1977072669915308,0,0.0
38,1092,51,182,679,1596,0,20,2275,0.14797686853635783,0.1816132635343219,0,0.0
39,1092,50,168,645,1645,1,15,2290,0.13564485752139402,0.1671266825899199,0,0.0
40,1092,48,152,616,1692,2,18,2308,0.12454604760792658,0.1540870530989424,0,0.0
41,1092,47,133,588,1740,1,20,2328,0.11455711868580588,0.14234991238865827,0,0.0
42,1092,47,117,559,1785,0,16,2344,0.10556708265589726,0.13178521114101627,0,0.0
43,1092,46,105,530,1827,1,13,2357,0.0974760502289795,0.12227587695614169,0,0.0
44,1092,44,101,498,1865,2,6,2363,0.09019412104475352,0.1137165207954935,0,0.0
45,1092,44,92,474,1898,0,9,2372,0.08364038477895011,0.106012272138612,0,0.0
46,1092,43,84,457,1924,1,9,2381,0.07774202213972707,0.09907773008500938,0,0.0
47,1092,43,76,433,1956,0,8,2389,0.07243349576442633,0.09283601889325903,0,0.0
48,1092,42,69,420,1977,1,8,2397,0.06765582202665565,0.0872179375861829,0,0.0
49,1092,42,60,402,2004,0,9,2406,0.06335591566266206,0.08216119427631541,0,0.0
50,1092,41,53,390,2024,1,8,2414,0.05948599993506781,0.07760971679042881,0,0.0
51,1092,41,50,372,2045,0,3,2417,0.056003075780233,0.0735130320056525,0,0.0
52,1092,41,44,347,2076,0,6,2423,0.05286844404088167,0.0698257070614615,0,0.0
53,1092,41,41,330,2096,0,3,2426,0.050047275475465454,0.06650684628954172,0,0.0
54,1092,40,41,310,2117,1,1,2427,0.047508223766590876,0.06351963831447696,0,0.0
55,1092,38,41,287,2142,2,2,2429,0.04522307722860374,0.06083094832886893,0,0.0
56,1092,36,40,276,2156,2,3,2432,0.043166445344415334,0.05841095104278459,0,0.0
57,1092,36,36,257,2179,0,4,2436,0.041315476648645766,0.0562328002546503,0,0.0
58,1092,35,34,247,2192,1,3,2439,0.03964960482245315,0.054272331393686334,0,0.0
59,1092,34,29,237,2208,1,6,2445,0.0381503201788798,0.052507793747042314,0,0.0
60,1092,34,27,228,2219,0,2,2447,0.03680096399966378,0.0509196094118773,0,0.0
61,1092,34,23,210,2241,0,4,2451,0.035586543438369374,0.04949015630726912,0,0.0
62,1092,34,21,202,2251,0,2,2453,0.03449356493320439,0.04820357284623436,0,0.0
63,1092,34,18,187,2269,0,3,2456,0.03350988427855592,0.04704558210717907,0,0.0
64,1092,33,18,171,2286,1,1,2457,0.032624571689372286,0.04600333355938525,0,0.0
