dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
0,1092,2495,10,3,0,0,0,3,0.01849256879003971,0.03,0,0.0
1,1092,2480,24,4,0,15,1,4,0.01818435931020572,0.029193517527792128,0,0.0
2,1092,2472,30,5,1,8,2,6,0.01792238125234682,0.028530948943364262,0,0.0
3,1092,2465,34,8,1,7,3,9,0.017699699903166756,0.027985584003439538,0,0.0
4,1092,2453,40,14,1,12,6,15,0.017510420756363707,0.027535887782812657,0,0.0
5,1092,2407,78,20,3,46,8,23,0.10281966610319992,0.18780064118697354,0,0.0
6,1092,2334,147,22,5,73,4,27,0.17533252464801075,0.32851089698206914,609,1.6120140152331943
7,1092,2233,239,27,9,101,9,36,0.23696845441109993,0.4476884614245418,1575,1.7053005108494976
8,1092,2118,324,53,13,115,30,66,0.2893589947097257,0.5486399474320889,2015,1.763545945681347
9,1092,2005,407,79,17,113,30,96,0.3338909539635576,0.6341613923705129,2400,1.8238120236223472
10,1092,1880,494,110,24,125,38,134,0.3717431193293147,0.7068908830764121,2699,1.8639269678695634
11,1092,1746,586,144,32,134,42,176,0.40391745989020833,0.7686857591715933,2905,1.8874364648435675
12,1092,1624,641,206,37,122,67,243,0.43126564936696793,0.8210637887723364,3043,1.9015992040996843
13,1092,1506,696,252,54,118,63,306,0.4545116104222134,0.8654624842585101,3125,1.9111264212462495
14,1092,1383,757,304,64,123,62,368,0.4742706773191722,0.9030994002857693,3193,1.9181766919995609
15,1092,1271,805,345,87,112,64,432,0.4910658841815872,0.935005903523304,3234,1.921396543035948
16,1092,1202,800,399,107,69,74,506,0.41987167739302106,0.795070885842418,2997,1.8957721489360373
17,1092,1151,771,445,141,51,80,586,0.35935660162273986,0.6765230355566275,2631,1.8523418289204054
18,1092,1095,753,485,175,56,74,660,0.3079187872180008,0.5760838396683834,2159,1.7869308166927416
19,1092,1054,736,508,210,41,58,718,0.26419664497397266,0.4909796353189082,1766,1.7331465836089837
20,1092,1020,703,535,250,34,67,785,0.2270328240665487,0.41893541624318903,1488,1.6995008172681385
21,1092,989,655,573,291,31,79,864,0.19544357629523837,0.35813634275843964,1084,1.7947632000331386
22,1092,963,617,588,340,26,64,928,0.16859271568962453,0.30662682110191514,424,1.4990535344835345
23,1092,943,572,609,384,20,65,993,0.14576948417485283,0.26298391330429416,21,0.6172261821611282
24,1092,924,523,642,419,19,68,1061,0.12636973738729687,0.22600348517164062,0,0.0
25,1092,911,490,643,464,13,46,1107,0.1098799526178743,0.19466634950326467,0,0.0
26,1092,898,455,642,513,13,48,1155,0.09586363556386511,0.16810970301837452,0,0.0
27,1092,887,428,639,554,11,38,1193,0.08394976606795729,0.14560301498966083,0,0.0
28,1092,873,406,626,603,14,36,1229,0.07382297699643567,0.1265276631507663,0,0.0
29,1092,863,372,625,648,10,44,1273,0.06521520628564229,0.11063291221097592,0,0.0
