dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
0,1092,2495,10,3,0,0,0,3,0.01849256879003971,0.03,0,0.0
1,1092,2478,26,4,0,17,1,4,0.019108987749707703,0.03069351752779213,0,0.0
2,1092,2470,32,5,1,8,2,6,0.019663764813408896,0.03132530069614348,0,0.0
3,1092,2462,37,8,1,8,3,9,0.020163064170739965,0.03189997094288401,0,0.0
4,1092,2448,44,15,1,14,7,16,0.02061243359233793,0.03242200057002996,0,0.0
5,1092,2402,81,22,3,46,9,25,0.10648699869339494,0.19233026478614085,0,0.0
6,1092,2329,150,24,5,73,4,29,0.18377410728434623,0.3419740893336065,791,1.6953172363615565
7,1092,2221,249,28,10,108,9,38,0.2533325050162024,0.4762014332733693,1704,1.7133765890570447
8,1092,2099,341,54,14,122,30,68,0.31593506297487295,0.5966127749522259,2256,1.8033733610679028
9,1092,1974,436,80,18,125,30,98,0.37227736513767645,0.7046400606812532,2722,1.866351574938511
10,1092,1829,539,115,25,145,42,140,0.42298543708419956,0.801564932121702,3024,1.899495739053739
11,1092,1679,644,152,33,150,45,185,0.46862270183607047,0.8888820147605229,3183,1.9167883955537752
12,1092,1536,714,220,38,143,73,258,0.5096962401127542,0.9674184251177328,3287,1.9254558838697498
13,1092,1401,782,268,57,135,67,325,0.5465917778233665,1.0,3340,1.9302433148304254
14,1092,1270,845,326,67,131,68,393,0.5792110144526732,1.0,3378,1.9338667888030687
15,1092,1149,893,374,92,121,73,466,0.6073247604423994,1.0,3408,1.936869044402146
16,1092,1067,890,436,115,82,85,551,0.5490579602368314,0.9036375307042135,3351,1.9310651790983226
17,1092,1007,862,490,149,60,88,639,0.4966178400518203,0.8167177736895903,3280,1.9245782559253137
18,1092,947,837,540,184,60,85,724,0.4494217318853102,0.738352565518949,3164,1.9149202881396201
19,1092,891,830,565,222,56,63,787,0.4069452345354512,0.6677305646570776,2968,1.8921427245376141
20,1092,851,798,593,266,40,72,859,0.36871638692057807,0.6041113148569054,2734,1.8645706131154403
21,1092,804,755,639,310,47,90,949,0.3343104240671922,0.5468199856497684,2446,1.8277980432585164
22,1092,766,717,661,364,38,76,1025,0.3033450574991449,0.4952425001644291,2130,1.7801550418347145
23,1092,740,671,689,408,26,72,1097,0.2754762275879024,0.44882092162193327,1864,1.7433171859600083
24,1092,716,620,728,444,24,75,1172,0.2503942806677842,0.4070490528178734,1670,1.723835985826705
25,1092,698,586,725,499,18,52,1224,0.2278205284396777,0.3694682419693979,1498,1.701851837708768
26,1092,673,557,725,553,25,54,1278,0.20750415143438192,0.33566340359253993,1246,1.7392575302720854
27,1092,657,525,721,605,16,48,1326,0.18921941212961568,0.3052592661931841,924,1.742061002367496
28,1092,640,494,711,663,17,48,1374,0.17276314675532606,0.2779168560340605,439,1.503756748517434
29,1092,627,455,711,715,13,52,1426,0.1579525079184654,0.2533302216265492,10,0.6104150850457223
30,1092,618,421,698,771,9,43,1469,0.14462293296529086,0.2312233987095818,0,0.0
31,1092,610,377,697,824,8,52,1521,0.13262631550743373,0.21134761116392758,0,0.0
32,1092,601,338,688,881,9,48,1569,0.12182935979536233,0.19347869988277266,0,0.0
33,1092,590,315,661,942,11,34,1603,0.11211209965449806,0.17741476911838985,0,0.0
34,1092,583,301,638,986,7,21,1624,0.10336656552772022,0.16297403816049777,0,0.0
35,1092,574,278,639,1017,9,32,1656,0.09549558481362015,0.14999288523596369,0,0.0
36,1092,567,263,616,1062,7,22,1678,0.0884117021709301,0.13832407010538608,0,0.0
37,1092,562,249,586,1111,5,19,1697,0.08203620779250906,0.12783512183540813,0,0.0
38,1092,557,231,557,1163,5,23,1720,0.07629826285193013,0.11840687853185619,0,0.0
39,1092,551,218,536,1203,6,19,1739,0.07113411240540908,0.1099321663349223,0,0.0
40,1092,546,202,522,1238,5,21,1760,0.06648637700354013,0.10231460563055428,0,0.0
41,1092,542,184,506,1276,4,22,1782,0.06230341514185808,0.09548318562715437,0,0.0
42,1092,535,172,487,1314,7,19,1801,0.05853874946634423,0.08951797150323404,0,0.0
43,1092,528,159,478,1343,7,20,1821,0.05515055035838177,0.08415901250693522,0,0.0
44,1092,524,150,450,1384,4,13,1834,0.052101171161215556,0.0793444607396818,0,0.0
45,1092,518,140,438,1412,6,16,1850,0.049356729883765965,0.07501880909187876,0,0.0
46,1092,514,132,423,1439,4,12,1862,0.04688673273406133,0.07113223696284979,0,0.0
47,1092,510,124,406,1468,4,12,1874,0.044663735299327156,0.06764002405791507,0,0.0
48,1092,508,113,393,1494,2,13,1887,0.04266303760806641,0.06450202510449002,0,0.0
49,1092,502,109,384,1513,6,10,1897,0.04086240968593173,0.06168219909111031,0,0.0
50,1092,500,102,369,1537,2,9,1906,0.03924184455601052,0.05914818731326286,0,0.0
51,1092,498,95,359,1556,2,9,1915,0.03778333593908143,0.05687093511664087,0,0.0
52,1092,494,88,338,1588,4,11,1926,0.03647067818384525,0.054824352769874095,0,0.0
53,1092,494,85,319,1610,0,3,1929,0.035289286204132686,0.052985011382015015,0,0.0
54,1092,491,79,311,1627,3,9,1938,0.03422603342239138,0.051331870211427676,0,0.0
55,1092,486,79,288,1655,5,5,1943,0.033269105918824204,0.04984603209788077,0,0.0
56,1092,483,72,286,1667,3,10,1953,0.03240787116561375,0.04851052409362087,0,0.0
57,1092,483,64,273,1688,0,8,1961,0.031632759887724335,0.047310100676472476,0,0.0
58,1092,480,61,263,1704,3,6,1967,0.03093515973762386,0.04623106720256122,0,0.0
59,1092,476,55,259,1718,4,10,1977,0.03030731960253344,0.04526112150162721,0,0.0
60,1092,474,52,255,1727,2,5,1982,0.02974226348095206,0.04438921173723965,0,0.0
61,1092,470,52,232,1754,4,4,1986,0.029233712971528814,0.04360540885034504,0,0.0
62,1092,468,50,222,1768,2,4,1990,0.0287760175130479,0.04290079207997738,0,0.0
63,1092,468,45,208,1787,0,5,1995,0.02836409160041507,0.04226734621185133,0,0.0
64,1092,465,44,193,1806,3,4,1999,0.027993358279045522,0.04169786934593009,0,0.0
65,1092,463,43,185,1817,2,3,2002,0.02765969828981293,0.04118589009967124,0,0.0
66,1092,463,40,175,1830,0,3,2005,0.027359404299503603,0.040725593276080635,0,0.0
67,1092,462,38,169,1839,1,3,2008,0.027089139708225202,0.04031175312634666,0,0.0
68,1092,457,38,162,1851,5,5,2013,0.02684590157607464,0.03993967342693754,0,0.0
69,1092,455,38,156,1859,2,2,2015,0.026626987257139148,0.03960513367173671,0,0.0
70,1092,452,39,143,1874,3,2,2017,0.02642996437009719,0.039304340752062815,0,0.0
71,1092,449,39,141,1879,3,3,2020,0.026252643771759433,0.039033885562159705,0,0.0
72,1092,449,34,136,1889,0,5,2025,0.026093055233255457,0.0387907040257418,0,0.0
73,1092,447,34,123,1904,2,2,2027,0.02594942554860187,0.03857204209115054,0,0.0
74,1092,447,31,114,1916,0,3,2030,0.02582015883241365,0.038375424289251385,0,0.0
75,1092,443,31,111,1923,4,4,2034,0.02570381878784424,0.0381986254899441,0,0.0
76,1092,443,29,106,1930,0,2,2036,0.02559911274773178,0.038051973988482646,0,0.0
77,1092,441,28,100,1939,2,3,2039,0.025504877311630567,0.03797817820203682,0,0.0
