dia,vazias,S,E,I,R,novos_expostos,novos_sintomaticos,casos_sintomaticos_acumulados,contaminacao_media,contaminacao_maxima,area_contaminada,dimensao_box_counting
0,1092,2495,10,3,0,0,0,3,0.01849256879003971,0.03,0,0.0
1,1092,2473,31,4,0,22,1,4,0.019108987749707703,0.03069351752779213,0,0.0
2,1092,2460,41,6,1,13,3,7,0.019663764813408896,0.03132530069614348,0,0.0
3,1092,2448,50,9,1,12,3,10,0.020163064170739965,0.03189997094288401,0,0.0
4,1092,2430,59,18,1,18,9,19,0.02061243359233793,0.03242200057002996,0,0.0
5,1092,2355,124,26,3,75,10,29,0.10648699869339494,0.19233026478614085,0,0.0
6,1092,2237,233,33,5,118,9,38,0.18377410728434623,0.3419740893336065,791,1.6953172363615565
7,1092,2083,369,44,12,154,18,56,0.2533325050162024,0.4762014332733693,1704,1.7133765890570447
8,1092,1913,498,79,18,170,41,97,0.31593506297487295,0.5966127749522259,2256,1.8033733610679028
9,1092,1747,618,120,23,166,46,143,0.37227736513767645,0.7046400606812532,2722,1.866351574938511
10,1092,1542,763,170,33,205,60,203,0.42298543708419956,0.801564932121702,3024,1.899495739053739
11,1092,1340,906,219,43,202,59,262,0.46862270183607047,0.8888820147605229,3183,1.9167883955537752
12,1092,1162,990,305,51,178,94,356,0.5096962401127542,0.9674184251177328,3287,1.9254558838697498
13,1092,1014,1038,381,75,148,100,456,0.5465917778233665,1.0,3340,1.9302433148304254
14,1092,883,1070,465,90,131,99,555,0.5792110144526732,1.0,3378,1.9338667888030687
15,1092,763,1089,533,123,120,101,656,0.6073247604423994,1.0,3408,1.936869044402146
16,1092,677,1065,608,158,86,110,766,0.5490579602368314,0.9036375307042135,3351,1.9310651790983226
17,1092,602,1028,678,200,75,112,878,0.4966178400518203,0.8167177736895903,3280,1.9245782559253137
18,1092,552,969,743,244,50,109,987,0.4494217318853102,0.738352565518949,3164,1.9149202881396201
19,1092,507,936,768,297,45,78,1065,0.4069452345354512,0.6677305646570776,2968,1.8921427245376141
20,1092,468,893,788,359,39,82,1147,0.36871638692057807,0.6041113148569054,2734,1.8645706131154403
21,1092,432,833,827,416,36,96,1243,0.3343104240671922,0.5468199856497684,2446,1.8277980432585164
22,1092,401,776,845,486,31,88,1331,0.3033450574991449,0.4952425001644291,2130,1.7801550418347145
23,1092,376,725,862,545,25,76,1407,0.2754762275879024,0.44882092162193327,1864,1.7433171859600083
24,1092,361,670,885,592,15,70,1477,0.2503942806677842,0.4070490528178734,1670,1.723835985826705
25,1092,343,628,876,661,18,60,1537,0.2278205284396777,0.3694682419693979,1498,1.701851837708768
26,1092,325,586,877,720,18,60,1597,0.20750415143438192,0.33566340359253993,1246,1.7392575302720854
27,1092,311,541,872,784,14,59,1656,0.18921941212961568,0.3052592661931841,924,1.742061002367496
28,1092,298,501,853,856,13,53,1709,0.17276314675532606,0.2779168560340605,439,1.503756748517434
29,1092,288,458,841,921,10,53,1762,0.1579525079184654,0.2533302216265492,10,0.6104150850457223
30,1092,280,417,825,986,8,49,1811,0.14462293296529086,0.2312233987095818,0,0.0
31,1092,277,364,823,1044,3,56,1867,0.13262631550743373,0.21134761116392758,0,0.0
32,1092,270,332,793,1113,7,39,1906,0.12182935979536233,0.19347869988277266,0,0.0
33,1092,259,308,760,1181,11,35,1941,0.11211209965449806,0.17741476911838985,0,0.0
34,1092,253,287,737,1231,6,27,1968,0.10336656552772022,0.16297403816049777,0,0.0
35,1092,250,261,731,1266,3,29,1997,0.09549558481362015,0.14999288523596369,0,0.0
36,1092,245,245,698,1320,5,21,2018,0.0884117021709301,0.13832407010538608,0,0.0
37,1092,239,232,663,1374,6,19,2037,0.08203620779250906,0.12783512183540813,0,0.0
38,1092,235,214,630,1429,4,22,2059,0.07629826285193013,0.11840687853185619,0,0.0
39,1092,231,195,603,1479,4,23,2082,0.07113411240540908,0.1099321663349223,0,0.0
40,1092,226,183,578,1521,5,17,2099,0.06648637700354013,0.10231460563055428,0,0.0
41,1092,222,169,552,1565,4,18,2117,0.06230341514185808,0.09548318562715437,0,0.0
42,1092,222,153,526,1607,0,16,2133,0.05853874946634423,0.08951797150323404,0,0.0
43,1092,221,133,511,1643,1,21,2154,0.05515055035838177,0.08415901250693522,0,0.0
44,1092,219,126,483,1680,2,9,2163,0.052101171161215556,0.0793444607396818,0,0.0
45,1092,216,114,466,1712,3,15,2178,0.049356729883765965,0.07501880909187876,0,0.0
46,1092,210,111,447,1740,6,9,2187,0.04688673273406133,0.07113223696284979,0,0.0
47,1092,206,106,423,1773,4,9,2196,0.044663735299327156,0.06764002405791507,0,0.0
48,1092,205,95,413,1795,1,12,2208,0.04266303760806641,0.06450202510449002,0,0.0
49,1092,203,87,400,1818,2,10,2218,0.04086240968593173,0.06168219909111031,0,0.0
50,1092,201,78,391,1838,2,11,2229,0.03924184455601052,0.05914818731326286,0,0.0
51,1092,201,73,376,1858,0,5,2234,0.03778333593908143,0.05687093511664087,0,0.0
52,1092,200,65,352,1891,1,9,2243,0.03647067818384525,0.054824352769874095,0,0.0
53,1092,199,63,332,1914,1,3,2246,0.035289286204132686,0.052985011382015015,0,0.0
54,1092,196,59,318,1935,3,7,2253,0.03422603342239138,0.051331870211427676,0,0.0
55,1092,193,60,295,1960,3,2,2255,0.033269105918824204,0.04984603209788077,0,0.0
56,1092,191,54,292,1971,2,8,2263,0.03240787116561375,0.04851052409362087,0,0.0
57,1092,191,47,275,1995,0,7,2270,0.031632759887724335,0.047310100676472476,0,0.0
58,1092,189,45,264,2010,2,4,2274,0.03093515973762386,0.04623106720256122,0,0.0
59,1092,185,43,254,2026,4,6,2280,0.03030731960253344,0.04526112150162721,0,0.0
60,1092,185,40,245,2038,0,3,2283,0.02974226348095206,0.04438921173723965,0,0.0
61,1092,183,38,223,2064,2,4,2287,0.029233712971528814,0.04360540885034504,0,0.0
62,1092,182,35,212,2079,1,4,2291,0.0287760175130479,0.04290079207997738,0,0.0
63,1092,182,32,197,2097,0,3,2294,0.02836409160041507,0.04226734621185133,0,0.0
64,1092,179,32,178,2119,3,3,2297,0.027993358279045522,0.04169786934593009,0,0.0
