dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
0,9988.0,10.0,2.0,0.0,0.02,10000.0,2.0,12.0
1,9962.368802884575,33.43557918916,3.994619529291936,0.2009983969714997,0.01962306812239178,9999.999999999998,4.195617926263436,37.631197115424584
2,9937.228177812976,54.174550391556146,7.979278917004986,0.6179928784626406,0.01928875953689186,9999.999999999998,8.597271795467627,62.771822187023645
3,9912.527759365033,72.52141154807376,13.5716965388516,1.3791325480421333,0.018992254420241723,10000.0,14.950829086893734,87.47224063496651
4,9888.222815205332,88.74632835858372,20.443622649960574,2.5872337861234973,0.018729277972693286,10000.0,23.030856436084072,111.77718479466785
5,9864.273629561754,103.08898758970622,28.313992899159047,4.323389949382323,0.018496112771555974,10000.000000000002,32.63738284854137,135.7263704382458
6,9786.745695733463,167.7898414056884,38.77984884434501,6.684614016501703,0.13136879218804756,10000.0,45.464462860846716,213.25430426653656
7,9644.18451876196,287.8349717872839,57.90647101088191,10.074038439875098,0.2314778892073977,10000.000000000002,67.98050945075701,355.81548123803987
8,9468.83275317954,427.50078167352416,88.43620346977501,15.230261677161785,0.3202666932564871,10000.0,103.66646514693679,531.1672468204597
9,9275.344919451645,571.0528409573129,130.61625739985442,22.985982191188455,0.3990152981193668,10000.0,153.60223959104286,724.6550805483548
10,9071.625205619785,710.6340351689028,183.5935858235266,34.14717338778645,0.4688590451352785,10000.0,217.74075921131305,928.3747943802155
11,8862.40095428879,842.1412521840606,246.01905706587408,49.43873646127706,0.5308048917406464,10000.000000000004,295.4577935271511,1137.5990457112093
12,8650.698310465903,963.4730836027229,316.3476612916623,69.48094463971574,0.5857459290647401,10000.000000000004,385.82860593137804,1349.301689534097
13,8438.54688358399,1073.6725202116245,392.9988444930748,94.78175171131468,0.6344742578819604,10000.000000000004,487.78059620438944,1561.4531164160107
14,8227.352702643593,1172.464872027812,474.4447115500142,125.7377137785852,0.6776924085570637,10000.000000000004,600.1824253285994,1772.6472973564069
15,8018.111431181917,1259.9908187690137,559.2581039904004,162.63964605867332,0.7160220417848123,10000.000000000004,721.8977500490737,1981.8885688180826
16,7815.907429045966,1332.4177493443817,645.9965632338703,205.67825837578746,0.636938996378635,10000.000000000004,851.6748216096578,2184.0925709540343
17,7625.1110186706865,1387.0989868768902,732.8623590667654,254.92763538566325,0.5667988722188435,10000.000000000005,987.7899944524287,2374.8889813293135
18,7445.413303621375,1426.017313069203,818.2323499260558,310.3370333833708,0.5045901626675924,10000.000000000005,1128.5693833094265,2554.5866963786248
19,7276.491568669995,1450.9799881667207,900.777924605143,371.7505185581454,0.4494159868247389,10000.000000000004,1272.5284431632883,2723.508431330005
20,7118.007672580092,1463.63697915704,979.4286673463884,438.92668091648324,0.40048088269064425,10000.000000000004,1418.3553482628715,2881.992327419908
21,6969.607036432757,1465.4968858702864,1053.3401734827764,511.55590421418486,0.3570793387611965,10000.000000000005,1564.8960776969614,3030.392963567243
22,6830.918304381877,1457.9407111124715,1121.8655143347755,589.2754701708814,0.318585622465059,10000.000000000005,1711.140984505657,3169.0816956181234
