dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
0,9988.0,10.0,2.0,0.0,0.02,10000.0,2.0,12.0
1,9961.906054267152,33.88314858506565,4.009528768685579,0.20126837909713333,0.020384418268068336,10000.0,4.210797147782712,38.093945732847715
2,9935.440926668984,55.846426240605794,8.090566956622034,0.6220801337906273,0.020739281055170027,10000.000000000002,8.712647090412661,64.5590733310164
3,9908.642689236885,76.0363287341505,13.922264323543628,1.3987177054217645,0.021066860694667944,10000.000000000002,15.320982028965393,91.35731076311458
4,9881.546248837154,94.58842074188605,21.21948746950341,2.64584295145611,0.02136925481463194,10000.0,23.86533042095952,118.45375116284595
5,9854.183615560758,111.62812087189428,29.72934139480976,4.458922172538868,0.021648514671432563,10000.0,34.18826356734863,145.81638443924203
6,9754.520789594088,196.7858584140512,41.72939499523211,6.963956996630166,0.19489441775281774,10000.0,48.69335199186228,245.47921040591245
7,9578.285100310228,346.1376842791984,64.88506792309275,10.69214748748136,0.3548205348171389,10000.0,75.57721541057411,421.7148996897722
8,9369.169748754784,512.372958116513,101.89218579469872,16.565107334003898,0.5024509476936224,10000.0,118.45729312870262,630.8302512452155
9,9144.021692458786,677.9577528479838,152.4489637328188,25.5715909604106,0.6387309950437227,10000.0,178.0205546932294,855.9783075412142
10,8911.12356906693,835.1128528804946,215.13104430644438,38.632533746131784,0.7645333344389541,10000.0,253.76357805257618,1088.8764309330709
11,8675.128891056906,980.2313621883749,288.09037967168115,56.54936708303794,0.8806635303483802,10000.0,344.6397467547191,1324.8711089430944
12,8438.877703158358,1111.7664010026833,369.36954466537185,79.98635117358447,0.9878652125014619,9999.999999999996,449.3558958389563,1561.1222968416423
13,8204.1992454762,1229.2759071212793,457.0559497578722,109.46889764464402,1.086824837657123,9999.999999999995,566.5248474025162,1795.8007545237997
14,7972.313716245614,1332.9371911768667,549.359236980107,145.38985559741016,1.1781760852706151,9999.999999999996,694.7490925775171,2027.6862837543858
15,7744.052387369877,1423.2795028460791,644.6483688876783,188.01974089636388,1.2625039152054485,9999.999999999996,832.6681097840421,2255.9476126301233
16,7519.986810689806,1501.028094997367,741.4663536629724,237.51874064985208,1.3403483134736114,9999.999999999996,978.9850943128245,2480.0131893101943
17,7300.508904616333,1567.0096458517662,838.5321785990818,293.9492709328164,1.4122077499895893,9999.999999999998,1132.4814495318983,2699.491095383667
18,7085.882830830007,1622.093409582247,934.735374432428,357.28838515531424,1.4785423704796261,9999.999999999996,1292.0237595877422,2914.117169169993
19,6876.27984164454,1667.1541080039551,1029.126419408702,427.43963094279957,1.5397769429853374,9999.999999999996,1456.5660503515016,3123.7201583554597
20,6671.802411399296,1703.04851362653,1120.9049410847012,504.2441338894681,1.5962984346184717,9999.999999999996,1625.1490749741693,3328.197588600704
21,6473.996648609011,1729.1546027715867,1209.3588213977407,587.4899272216568,1.4754905473214706,9999.999999999995,1796.8487486193976,3526.0033513909893
22,6284.198370921924,1745.1582334884317,1293.7310390173773,676.9123565722624,1.3639715345118464,9999.999999999995,1970.6433955896396,3715.801629078076
23,6102.159835843212,1752.25648092095,1373.3874388844233,772.1962443514099,1.2610265108543735,9999.999999999995,2145.583683235833,3897.840164156788
24,5927.64051168785,1751.5256451977364,1447.8471166842228,872.9867264301857,1.1659962767369947,9999.999999999996,2320.8338431144084,4072.3594883121496
25,5760.406609900046,1743.9331896826875,1516.7607905287757,978.899409888486,1.0782723142222868,9999.999999999995,2495.660200417262,4239.593390099954
