dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
0,9988.0,10.0,2.0,0.0,0.02,10000.0,2.0,12.0
1,9972.613379293038,23.688341465083433,3.509030582215333,0.18924865966450377,0.019623068122379655,10000.000000000002,3.6982792418798365,27.386620706962276
2,9957.505862494962,35.80871004010835,6.157047075547981,0.5283803893836476,0.0192887595368811,10000.000000000002,6.685427464931628,42.49413750503845
3,9942.647978368492,46.538336308094095,9.723027064623766,1.0906582587905178,0.018992254420232186,10000.0,10.813685323414283,57.35202163150825
4,9928.013518785112,56.034482808915214,14.01729562393336,1.9347027820394176,0.018729277972684828,9999.999999999998,15.951998405972779,71.98648121488804
5,9913.579187280737,64.43667839774474,18.877548351694802,3.106585969824951,0.018496031419689644,10000.0,21.984134321519754,86.42081271926327
6,9866.756216656213,103.30672914696628,25.27457544432695,4.662478752498827,0.13136869362354928,10000.000000000005,29.937054196825777,133.24378334378707
7,9780.26727976919,175.9957484123942,36.89275810668294,6.8442137117360575,0.23147780179314192,10000.000000000004,43.736971818419,219.73272023080972
8,9673.180352259673,261.27505047058526,55.445547904908224,10.099049364836423,0.3202666157269973,10000.000000000004,65.54459726974464,326.8196477403271
9,9554.092886052098,349.81125725799126,81.15985121902031,14.936005470892418,0.39901522935687783,10000.000000000004,96.09585668991272,445.90711394790196
10,9427.628873634052,436.9143382437018,113.60303679914155,21.8537513231063,0.46885898414842175,10000.0,135.45678812224784,572.3711263659479
11,9296.55954631113,520.0937563665204,152.03890982214597,31.30778750020471,0.5308048376501567,10000.000000000002,183.34669732235068,703.4404536888705
12,9162.671545601735,598.0284544989375,195.60425202656668,43.69574787276078,0.5857458810907793,10000.0,239.29999989932747,837.3284543982645
13,9027.178279982609,670.0663239177247,243.40335805605636,59.35203804360977,0.6344742153328743,10000.0,302.75539609966614,972.8217200173913
14,8890.936090784706,735.9558550959998,294.5604852399952,78.54756887929835,0.6776923708194096,9999.999999999998,373.10805411929357,1109.0639092152942
15,8754.567018005659,795.6917027731869,348.2489537744542,101.4923254467016,0.7160234354707031,10000.000000000002,449.7412792211558,1245.4329819943414
16,8621.425033730984,846.6234175106594,403.6137412752724,128.33780748308266,0.6369415237512721,10000.0,531.9515487583551,1378.574966269016
17,8494.52516450661,886.7683285869438,459.54181443489614,159.16469247154785,0.5668011137972864,9999.999999999998,618.706506906444,1505.4748354933909
18,8373.8404774457,917.1787007491461,515.0053767876884,193.97544501746341,0.5045921507693238,9999.999999999998,708.9808218051519,1626.1595225543006
19,8259.325973436891,938.8238717446928,569.1449083791837,232.70524643923062,0.44941775011279483,9999.999999999998,801.8501548184142,1740.6740265631088
20,8150.916635582298,952.5999979458145,621.2500486290744,275.2333178428119,0.40048244658685694,9999.999999999998,896.4833664718863,1849.083364417702
21,8048.525921351654,959.3384494455905,670.7426714893465,321.39295771340807,0.3570807258127084,9999.999999999998,992.1356292027547,1951.4740786483462
22,7952.044796990411,959.8128895309786,717.1618729928648,370.980440485743,0.3185868526693917,9999.999999999996,1088.1423134786078,2047.9552030095892
23,7861.341389337917,954.7450924300923,760.1506148363127,423.7629033956754,0.2844458498901572,9999.999999999996,1183.913518231988,2138.6586106620834
24,7776.261298935866,944.8095779190248,799.4437916861594,479.48533145894595,0.2541654967952111,9999.999999999995,1278.9291231451055,2223.738701064134
25,7696.6285816547,930.6371688048375,834.8575148266528,537.8767347138054,0.22730923280426887,9999.999999999996,1372.7342495404582,2303.3714183453003
26,7622.247367418723,912.817603990773,866.2794306208015,598.6555979696968,0.2034898634168108,9999.999999999995,1464.9350285904984,2377.752632581277
27,7552.9040477582075,891.9013622416235,893.6599187193283,661.5346712808348,0.18236397791734119,9999.999999999995,1555.194590000163,2447.0959522417925
28,7488.369932494068,868.4008668522412,917.0040414187552,726.2251592349303,0.16362699832409897,9999.999999999996,1643.2292006536854,2511.630067505932
29,7428.404252807988,842.7912470873323,936.3641412194096,792.4403588852658,0.1470087882004859,9999.999999999996,1728.8045001046753,2571.595747192012
30,7372.757375099101,815.5108276697586,951.8330075628085,859.8987896683278,0.13226975802018098,9999.999999999996,1811.7317972311362,2627.2426249008986
31,7321.174087896757,786.9615032401566,963.5375550780566,928.3268537850247,0.11919741093586646,9999.999999999996,1891.8644088630813,2678.8259121032434
32,7273.396831929106,757.5091322529515,971.632973746929,997.4610620710074,0.10760327915091805,9999.999999999995,1969.0940358179364,2726.603168070894
33,7229.168759445867,727.484056697433,976.2973257669138,1067.0498580897815,0.09732020672484659,9999.999999999996,2043.3471838566952,2770.831240554133
34,7188.236530610014,697.181823207784,977.7265744031203,1136.855071779078,0.08819993963791335,9999.999999999996,2114.5816461821983,2811.7634693899863
