dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
0,9988.0,10.0,2.0,0.0,0.02,10000.0,2.0,12.0
1,9972.335442026393,23.95716408899311,3.517983134720752,0.18941074989639375,0.020384418268070408,10000.000000000004,3.707393884617146,27.66455797360686
2,9956.431284938632,36.81395394019092,6.223925304083373,0.5308358170957671,0.020739281055171945,10000.0,6.75476112117914,43.56871506136849
3,9940.309669872053,48.654029030998345,9.933869559288002,1.1024315376642069,0.021066860694669714,10000.000000000004,11.03630109695221,59.69033012794716
4,9923.990915548611,59.55482055458272,14.484306753581128,1.9699571432260554,0.02136925481463357,10000.0,16.454263896807184,76.00908445138884
5,9907.493673245805,69.5879767639966,19.73018680850084,3.188163181700152,0.021648560815211906,10000.000000000002,22.91834999020099,92.50632675419547
6,9858.718467739593,109.82429949223327,26.63472655473785,4.822506213438109,0.1372317385307013,10000.000000000002,31.457232768175956,141.2815322604074
7,9769.953131270855,184.06407638460004,38.860366677608155,7.122425666939036,0.24392843284164464,10000.000000000004,45.98279234454719,230.046868729145
8,9659.983541937137,271.32346868040116,58.149744749862705,10.543244632599283,0.34242189546489027,10000.0,68.69298938246199,340.0164580628625
9,9537.471812746402,362.1659484885315,84.75795014289551,15.604288622170781,0.43334282082463615,10000.0,100.3622387650663,462.52818725359793
10,9407.142549375667,451.77471396538573,118.26667947107406,22.81605718787444,0.5172734132528228,10000.000000000002,141.0827366589485,592.8574506243331
11,9271.856600289948,537.5550977891638,157.94185251417565,32.646449406712996,0.5947511150852022,10000.0,190.58830192088865,728.1433997100521
12,9133.474074232714,618.1071846033992,202.9134304738692,45.50531069001728,0.6662720481271466,10000.0,248.41874116388647,866.525925767286
13,8993.267927282805,692.7207338182353,252.272800218995,61.73853867996518,0.7322941905269944,10000.0,314.01133889896016,1006.7320727171955
14,8852.143132665282,761.1020012886299,305.1274024595235,81.62746358656375,0.7932403093997646,9999.999999999998,386.7548660460873,1147.8568673347181
15,8710.761961064676,823.2154036783007,360.6314370091686,105.39119824785391,0.8495000367276493,10000.0,466.02263525702256,1289.2380389353239
16,8571.81323518293,877.0655657526563,417.9318421749931,133.18935688942034,0.7861094218546172,10000.000000000002,551.1211990644134,1428.18676481707
17,8437.592818762405,921.2921088727903,476.0011566752179,165.11391568958672,0.7275925487029306,10000.0,641.1150723648046,1562.407181237595
18,8308.038669346142,956.8699012142804,533.9059465213852,201.18548291819243,0.6735746665571715,10000.0,735.0914294395776,1691.9613306538577
19,8183.086232345066,984.6834333245935,590.866724036948,241.36361029339201,0.6237098765512308,10000.0,832.2303343303399,1816.9137676549344
20,8062.668108741101,1005.535734704115,646.2390554721843,285.5571010825989,0.5776788737876065,9999.999999999998,931.7961565547832,1937.3318912588993
21,7946.713753012554,1020.1564130433366,699.4967880798182,333.63304586429075,0.5351869026959336,10000.0,1033.129833944109,2053.2862469874462
22,7835.14920845192,1029.2088927858056,750.2171696689849,385.42472909328814,0.495961869591019,10000.0,1135.641898762273,2164.8507915480805
23,7727.896886757923,1033.2969226654743,798.0676563541952,440.7385342224062,0.4597526003443127,9999.999999999998,1238.8061905766012,2272.1031132420767
24,7624.875398233975,1032.9704157642516,842.7942247155796,499.3599612861932,0.4263272320119607,9999.999999999998,1342.1541860017728,2375.124601766025
